CITY_ID,NAME,OFFICIAL_NAME,POPULATION,IS_CAPITAL,LATITUDE,LONGITUDE,TIMEZONE,COUNTRY_ID
AND0001,Andorra la Vella,,23000,Y,42.50779,1.52109,,AND
ARE0001,Abu Dhabi,,1420000,Y,24.45118,54.39696,,ARE
AFG0001,Kabul,,4012000,Y,34.52813,69.17233,,AFG
ATG0001,Saint John's,Saint John’s,21000,Y,17.12096,-61.84329,,ATG
ALB0001,Tirana,,476000,Y,41.3275,19.81889,,ALB
ARM0001,Yerevan,,1080000,Y,40.18111,44.51361,,ARM
AGO0001,Luanda,,7774000,Y,-8.83682,13.23432,,AGO
ARG0001,Buenos Aires,,14967000,Y,-34.61315,-58.37723,,ARG
AUT0001,Vienna,,1901000,Y,48.20849,16.37208,,AUT
AUS0001,Canberra,,423000,Y,-35.28346,149.12807,,AUS
AZE0001,Baku,,2286000,Y,40.37767,49.89201,,AZE
BIH0001,Sarajevo,,343000,Y,43.84864,18.35644,,BIH
BRB0001,Bridgetown,,89000,Y,13.10732,-59.62021,,BRB
BGD0001,Dhaka,,19578000,Y,23.7104,90.40744,,BGD
BEL0001,Brussels,,2050000,Y,50.85045,4.34878,,BEL
BFA0001,Ouagadougou,,2531000,Y,12.36566,-1.53388,,BFA
BGR0001,Sofia,,1272000,Y,42.69751,23.32415,,BGR
BHR0001,Manama,,565000,Y,26.22787,50.58565,,BHR
BDI0001,Bujumbura,,899000,Y,-3.39249,29.36169,,BDI
BEN0001,Porto Novo,Porto-Novo,285000,Y,6.49646,2.60359,,BEN
BRN0001,Bandar Seri Begawan,,241000,Y,4.89035,114.94006,,BRN
BOL0001,Sucre,,278000,Y,-19.03332,-65.26274,,BOL
BRA0001,Brasilia,,4470000,Y,-15.77972,-47.92972,,BRA
BHS0001,Nassau,,280000,Y,25.05823,-77.34306,,BHS
BTN0001,Thimphu,,203000,Y,27.46609,89.64191,,BTN
BWA0001,Gaborone,,269000,Y,-24.65451,25.90859,,BWA
BLR0001,Minsk,,2005000,Y,53.9,27.56667,,BLR
BLZ0001,Belmopan,,23000,Y,17.25,-88.76667,,BLZ
CAN0001,Ottawa,,1363000,Y,45.41117,-75.69812,,CAN
COD0001,Kinshasa,,13171000,Y,-4.32758,15.31357,,COD
CAF0001,Bangui,,851000,Y,4.36122,18.55496,,CAF
COG0001,Brazzaville,,2230000,Y,-4.26613,15.28318,,COG
CHE0001,Bern,,422000,Y,46.94809,7.44744,,CHE
CIV0001,Yamoussoukro,,231000,Y,6.82055,-5.27674,,CIV
CHL0001,Santiago,,6680000,Y,-33.45694,-70.64827,,CHL
CMR0001,Yaounde,Yaoundé,1952000,Y,3.86667,11.51667,,CMR
CHN0001,Beijing,,19618000,Y,39.9075,116.39723,,CHN
COL0001,Bogota,,10574000,Y,4.60971,-74.08175,,COL
CRI0001,San Jose,San José,1358000,Y,9.93333,-84.08333,,CRI
CUB0001,Havana,,2136000,Y,23.13302,-82.38304,,CUB
CPV0001,Praia,,168000,Y,14.93152,-23.51254,,CPV
CYP0001,Nicosia,,269000,Y,35.17531,33.3642,,CYP
CZE0001,Prague,,1292000,Y,50.08804,14.42076,,CZE
DEU0001,Berlin,,3563000,Y,52.52437,13.41053,,DEU
DJI0001,Djibouti,,562000,Y,11.58901,43.14503,,DJI
DNK0001,Copenhagen,,1321000,Y,55.67594,12.56553,,DNK
DMA0001,Roseau,,15000,Y,15.30174,-61.38808,,DMA
DOM0001,Santo Domingo,,3172000,Y,18.47186,-69.89232,,DOM
DZA0001,Algiers,,2694000,Y,36.73225,3.08746,,DZA
ECU0001,Quito,,1822000,Y,-0.22985,-78.52495,,ECU
EST0001,Tallinn,,437000,Y,59.43696,24.75353,,EST
EGY0001,Cario,,20076000,Y,30.04442,31.23571,,EGY
ERI0001,Asmara,,896000,Y,15.33805,38.93184,,ERI
ESP0001,Madrid,,6497000,Y,40.4165,-3.70256,,ESP
ETH0001,Addis Ababa,,4400000,Y,9.02497,38.74689,,ETH
FIN0001,Helsinki,,1279000,Y,60.16952,24.93545,,FIN
FJI0001,Suva,,178000,Y,-18.14161,178.44149,,FJI
FSM0001,Palikir,,7000,Y,6.92444,158.16066,,FSM
FRA0001,Paris,,10901000,Y,48.85341,2.3488,,FRA
GAB0001,Libreville,,813000,Y,0.39241,9.45356,,GAB
GBR0001,London,,9046000,Y,51.50853,-0.12574,,GBR
GRD0001,Saint George's,,39000,Y,12.05288,-61.75226,,GRD
GEO0001,Tbilisi,,1077000,Y,41.69411,44.83368,,GEO
GHA0001,Accra,,2439000,Y,5.55602,-0.1969,,GHA
GMB0001,Banjul,,437000,Y,13.45274,-16.57803,,GMB
GIN0001,Conakry,,1843000,Y,9.53795,-13.67729,,GIN
GNQ0001,Malabo,,297000,Y,3.75578,8.78166,,GNQ
GRC0001,Athens,,3156000,Y,37.98376,23.72784,,GRC
GTM0001,Guatemala City,,2851000,Y,14.64072,-90.51327,,GTM
GNB0001,Bissau,,558000,Y,11.86357,-15.59767,,GNB
GUY0001,Georgetown,,110000,Y,6.80448,-58.15527,,GUY
HND0001,Tegucigalpa,,1363000,Y,14.0818,-87.20681,,HND
HRV0001,Zagreb,,686000,Y,45.81444,15.97798,,HRV
HTI0001,Port au Prince,Port-au-Prince,2637000,Y,18.54349,-72.33881,,HTI
HUN0001,Budapest,,1759000,Y,47.49835,19.04045,,HUN
IDN0001,Jakarta,,10517000,Y,-6.21462,106.84513,,IDN
IRL0001,Dublin,,1201000,Y,53.33306,-6.24889,,IRL
ISR0001,Jerusalem,,907000,Y,31.76831,35.21371,,ISR
IND0001,New Delhi,,28514000,Y,28.63576,77.22445,,IND
IRQ0001,Baghdad,,6643000,Y,33.34058,44.40088,,IRQ
IRN0001,Tehran,,8896000,Y,35.69439,51.42151,,IRN
ISL0001,Reykjavik,Reykjavík,216000,Y,64.13548,-21.89541,,ISL
ITA0001,Rome,,4210000,Y,41.89193,12.51133,,ITA
JAM0001,Kingston,,589000,Y,17.99702,-76.79358,,JAM
JOR0001,Amman,,2065000,Y,31.95522,35.94503,,JOR
JPN0001,Tokyo,,37468000,Y,35.6895,139.69171,,JPN
KEN0001,Nairobi,,4386000,Y,-1.28333,36.81667,,KEN
KGZ0001,Bishkek,,996000,Y,42.87,74.59,,KGZ
KHM0001,Phnom Penh,,1952000,Y,11.56245,104.91601,,KHM
KIR0001,Tarawa,,64000,Y,1.3278,172.97696,,KIR
COM0001,Moroni,,62000,Y,-11.70216,43.25506,,COM
KNA0001,Basseterre,,14000,Y,17.2955,-62.72499,,KNA
PRK0001,Pyongyang,,3038000,Y,39.03385,125.75432,,PRK
KOR0001,Seoul,,9963000,Y,37.566,126.9784,,KOR
KWT0001,Kuwait City,,2989000,Y,29.36972,47.97833,,KWT
KAZ0001,Nur Sultan,Nur-Sultan,1068000,Y,51.1801,71.44598,,KAZ
LAO0001,Vientiane,,665000,Y,17.96667,102.6,,LAO
LBN0001,Beirut,,2385000,Y,33.89332,35.50157,,LBN
LCA0001,Castries,,22000,Y,13.9957,-61.00614,,LCA
LIE0001,Vaduz,,5000,Y,47.14151,9.52154,,LIE
LKA0001,Colombo,,600000,Y,6.93548,79.84868,,LKA
LKA0002,Sri Jayewardenepura Kotte,,103000,Y,6.88682,79.91878,,LKA
LBR0001,Monrovia,,1418000,Y,6.30054,-10.7969,,LBR
LSO0001,Maseru,,202000,Y,-29.31667,27.48333,,LSO
LTU0001,Vilnius,,536000,Y,54.68916,25.2798,,LTU
LUX0001,Luxembourg,,120000,Y,49.61167,6.13,,LUX
LVA0001,Riga,,637000,Y,56.946,24.10589,,LVA
LBY0001,Tripoli,,1158000,Y,32.88743,13.18733,,LBY
MAR0001,Rabat,,1847000,Y,34.01325,-6.83255,,MAR
MCO0001,Monaco,,38000,Y,43.73333,7.41667,,MCO
MDA0001,Chisinau,Chişinău,510000,Y,47.00556,28.8575,,MDA
MNE0001,Podgorica,,177000,Y,42.44111,19.26361,,MNE
MDG0001,Antananarivo,,3058000,Y,-18.91368,47.53613,,MDG
MHL0001,Majuro,,31000,Y,7.08971,171.38027,,MHL
MKD0001,Skopje,,584000,Y,41.99646,21.43141,,MKD
MLI0001,Bamako,,2447000,Y,12.65,-8,,MLI
MMR0001,Nay Pyi Taw,,1176000,Y,19.745,96.12972,,MMR
MNG0001,Ulaanbaatar,,1520000,Y,47.92065,106.91731,,MNG
MRT0001,Nouakchott,,1205000,Y,18.08581,-15.9785,,MRT
MLT0001,Valletta,,213000,Y,35.89968,14.5148,,MLT
MUS0001,Port Louis,,149000,Y,-20.16194,57.49889,,MUS
MDV0001,Male,,177000,Y,4.17521,73.50916,,MDV
MWI0001,Lilongwe,,1030000,Y,-13.96692,33.78725,,MWI
MEX0001,Mexico City,,21581000,Y,19.42847,-99.12766,,MEX
MYS0001,Kuala Lumpur,,7564000,Y,3.1412,101.68653,,MYS
MOZ0001,Maputo,,1102000,Y,-25.96553,32.58322,,MOZ
NAM0001,Windhoek,,404000,Y,-22.55941,17.08323,,NAM
NER0001,Niamey,,1214000,Y,13.51366,2.1098,,NER
NGA0001,Abuja,,2919000,Y,9.05785,7.49508,,NGA
NIC0001,Managua,,1048000,Y,12.13282,-86.2504,,NIC
NLD0001,Amsterdam,,1132000,Y,52.37403,4.88969,,NLD
NOR0001,Oslo,,1012000,Y,59.91273,10.74609,,NOR
NPL0001,Kathmandu,,1330000,Y,27.70169,85.3206,,NPL
NRU0001,Yaren,,1000,Y,-0.55085,166.9252,,NRU
NZL0001,Wellington,,411000,Y,-41.28664,174.77557,,NZL
OMN0001,Muscat,,1447000,Y,23.58413,58.40778,,OMN
PAN0001,Panama City,,1783000,Y,30.15881,-85.66021,,PAN
PER0001,Lima,,10391000,Y,-12.04318,-77.02824,,PER
PNG0001,Port Moresby,,367000,Y,-9.47723,147.15089,,PNG
PHL0001,Manila,,13482000,Y,14.6042,120.9822,,PHL
PAK0001,Islamabad,,1061000,Y,33.72148,73.04329,,PAK
POL0001,Warsaw,,1768000,Y,52.22977,21.01178,,POL
PRT0001,Lisbon,,2927000,Y,38.71667,-9.13333,,PRT
PLW0001,Melekeok,,299,Y,7.49244,134.63632,,PLW
PRY0001,Asuncion,Asunción,3222000,Y,-25.28646,-57.647,,PRY
QAT0001,Doha,,633000,Y,25.28545,51.53096,,QAT
ROU0001,Bucharest,,1821000,Y,44.43225,26.10626,,ROU
SRB0001,Belgrade,,1389000,Y,44.80401,20.46513,,SRB
RUS0001,Moscow,,12410000,Y,55.75222,37.61556,,RUS
RWA0001,Kigali,,1058000,Y,-1.94995,30.05885,,RWA
SAU0001,Riyadh,,6907000,Y,24.68773,46.72185,,SAU
SLB0001,Honiara,,82000,Y,-9.43333,159.95,,SLB
SYC0001,Victoria,,28000,Y,-4.62001,55.45501,,SYC
SDN0001,Khartoum,,5534000,Y,15.55177,32.53241,,SDN
SWE0001,Stockholm,,1583000,Y,59.32938,18.06871,,SWE
SGP0001,Singapore,,5792000,Y,1.28967,103.85007,,SGP
SVN0001,Ljubljana,,286000,Y,46.05108,14.50513,,SVN
SVK0001,Bratislava,,430000,Y,48.14816,17.10674,,SVK
SLE0001,Freetown,,1136000,Y,8.48714,-13.2356,,SLE
SMR0001,San Marino,,4000,Y,43.93667,12.44639,,SMR
SEN0001,Dakar,,2978000,Y,14.6937,-17.44406,,SEN
SOM0001,Mogadishu,,2782000,Y,2.03711,45.34375,,SOM
SUR0001,Paramaribo,,239000,Y,5.86638,-55.16682,,SUR
SSD0001,Juba,,369000,Y,4.85165,31.58247,,SSD
STP0001,Sao Tome,São Tomé,80000,Y,0.33654,6.72732,,STP
SLV0001,San Salvador,,1107000,Y,13.68935,-89.18718,,SLV
SYR0001,Damascus,,2320000,Y,33.5102,36.29128,,SYR
SWZ0001,Mbabane,,68000,Y,-26.31667,31.13333,,SWZ
SWZ0002,Lobamba,,5800,Y,-26.44759,31.20673,,SWZ
TCD0001,N'Djamena,N’Djamena,1323000,Y,12.10672,15.0444,,TCD
TGO0001,Lome,Lomé,1746000,Y,6.12874,1.22154,,TGO
THA0001,Bangkok,,10156000,Y,13.75398,100.50144,,THA
TJK0001,Dushanbe,,873000,Y,38.53575,68.77905,,TJK
TLS0001,Dili,Dilí,281000,Y,-8.55861,125.57361,,TLS
TKM0001,Ashgabat,,810000,Y,37.95,58.38333,,TKM
TUN0001,Tunis,,2291000,Y,36.81897,10.16579,,TUN
TON0001,Nuku'alofa,Nuku’alofa,23000,Y,-21.13938,-175.2018,,TON
TUR0001,Ankara,,4919000,Y,39.91987,32.85427,,TUR
TTO0001,Port of Spain,,544000,Y,10.66668,-61.51889,,TTO
TUV0001,Funafuti,,7000,Y,-8.52425,179.19417,,TUV
TWN0001,Taipei,,2706000,Y,25.04776,121.53185,,TWN
TZA0001,Dar es Salaam,,6048000,Y,-6.81857,39.28921,,TZA
TZA0002,Dodoma,,262000,Y,-6.17221,35.73947,,TZA
UKR0001,Kiev,,2957000,Y,50.44784,30.53368,,UKR
UGA0001,Kampala,,2986000,Y,0.31628,32.58219,,UGA
USA0001,"Washington, D.C.",,5207000,Y,38.88978,-77.00906,,USA
URY0001,Montevideo,,1737000,Y,-34.90328,-56.18816,,URY
UZB0001,Tashkent,,2464000,Y,41.26465,69.21627,,UZB
VAT0001,Vatican City,,1000,Y,41.90268,12.45414,,VAT
VCT0001,Kingstown,,27000,Y,13.15527,-61.22742,,VCT
VEN0001,Caracas,,2935000,Y,10.48801,-66.87919,,VEN
VNM0001,Hanoi,,1064000,Y,21.0245,105.84117,,VNM
VUT0001,Port Vila,Port-Vila,53000,Y,-17.73648,168.31366,,VUT
WSM0001,Apia,,36000,Y,-13.83333,-171.76666,,WSM
XKX0001,Prishtina,,207062,Y,42.66474,21.16413,,XKX
YEM0001,Sanaa,,2779000,Y,15.35472,44.20667,,YEM
ZAF0001,Pretoria,,2378000,Y,-25.74486,28.18783,,ZAF
ZAF0002,Cape Town,,4430000,Y,-33.9254,18.42355,,ZAF
ZAF0003,Bloemfontein,,465000,Y,-29.12036,26.22535,,ZAF
ZMB0001,Lusaka,,2524000,Y,-15.40669,28.28713,,ZMB
ZWE0001,Harare,,1515000,Y,-17.82772,31.05337,,ZWE
